epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,342286,1.32449,0.83102,0.00911,0.7617,0.71547,0.7707,0.45069,1.38091,1.01467,0.01568,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,346254,1.32288,0.83286,0.00918,0.76095,0.71422,0.77064,0.4506,1.38137,1.01298,0.0157,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,349919,1.32003,0.81565,0.00917,0.765,0.71214,0.77133,0.45087,1.38122,1.01194,0.01569,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,353811,1.31858,0.71708,0.01036,0.76541,0.71227,0.77105,0.45068,1.38214,1.01027,0.01572,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,357441,1.28937,0.68711,0.00979,0.77026,0.71009,0.77103,0.4505,1.38194,1.00929,0.01571,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,361029,1.2759,0.66243,0.00971,0.76896,0.71149,0.77098,0.45099,1.38072,1.01108,0.01569,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,364597,1.25782,0.64665,0.00937,0.77095,0.7111,0.77161,0.45137,1.38061,1.00869,0.01569,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,368173,1.25339,0.6425,0.00938,0.77309,0.71049,0.77231,0.45189,1.38216,1.0074,0.01571,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,371836,1.25558,0.62899,0.00933,0.77571,0.71032,0.7728,0.45215,1.38195,1.00779,0.0157,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,375546,1.24233,0.61938,0.00921,0.77114,0.71129,0.77198,0.4515,1.38213,1.00769,0.0157,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,379237,1.23063,0.63037,0.00904,0.76746,0.71662,0.77163,0.45152,1.38194,1.00795,0.0157,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,382957,1.22967,0.60661,0.00891,0.77312,0.7118,0.77131,0.45147,1.38066,1.00989,0.01568,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
